"ID","Number of references","Number of references outside selected database","Number of self-cited references","List ID of references","Title","Authors","Source title","Publisher","Year","Link"
"112","51","51","0","","A back-analysis method using an intelligent multi-objective optimization for predicting slope deformation induced by excavation","Sun Y., Jiang Q., Yin T., Zhou C.","Engineering Geology","Elsevier B.V.","2018","10.1016/j.enggeo.2018.03.019"
"113","50","48","2","836,714","A balanced fuzzy Cultural Algorithm with a modified Levy flight search for real parameter optimization","Ali M.Z., Awad N.H., Reynolds R.G., Suganthan P.N.","Information Sciences","Elsevier Inc.","2018","10.1016/j.ins.2018.03.008"
"114","45","44","1","800","A basis reduction method using proper orthogonal decomposition for shakedown analysis of kinematic hardening material","Ri J.-H., Hong H.-S.","Computational Mechanics","Springer Verlag","2019","10.1007/s00466-018-1653-y"
"115","31","31","0","","A black phosphorus nanoconveyor belt system","Hua A., Zhao J., Wei N.","Applied Physics Letters","American Institute of Physics Inc.","2019","10.1063/1.5133149"
"116","38","37","1","30","A bond-based peridynamic model considering effects of particle rotation and shear influence coefficient","Zheng G., Shen G., Xia Y., Hu P.","International Journal for Numerical Methods in Engineering","John Wiley and Sons Ltd","2020","10.1002/nme.6189"
"117","67","67","0","","A boundary collocation method for anomalous heat conduction analysis in functionally graded materials","Fu Z.-J., Yang L.-W., Xi Q., Liu C.-S.","Computers and Mathematics with Applications","Elsevier Ltd","2020","10.1016/j.camwa.2020.02.023"
"118","187","177","10","468,2923,4051,3685,3687,2725,414,635,346,1484","A brief review on polygonal/polyhedral finite element methods","Perumal L.","Mathematical Problems in Engineering","Hindawi Limited","2018","10.1155/2018/5792372"
"119","82","82","0","","A brief review on synthesis, properties and lithium-ion battery applications of borophene","Ayodhya D., Veerabhadram G.","FlatChem","Elsevier B.V.","2020","10.1016/j.flatc.2019.100150"
"120","60","55","5","4635,4424,123,531,2523","A cell-based smoothed CBS finite element formulation for computing the Oldroyd-B fluid flow","He T.","Journal of Non-Newtonian Fluid Mechanics","Elsevier B.V.","2019","10.1016/j.jnnfm.2019.104162"
"121","40","39","1","562","A cell-based smoothed finite element method for free vibration analysis of a rotating plate","Du C.F., Zhang D.G., Liu G.R.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2019","10.1142/S0219876218400030"
"122","47","47","0","","A cell-based smoothed finite element method for multi-body contact analysis using linear complementarity formulation","Yue J., Liu G.-R., Li M., Niu R.","International Journal of Solids and Structures","Elsevier Ltd","2018","10.1016/j.ijsolstr.2018.02.016"
"123","72","70","2","706,548","A cell-based smoothed finite element method with semi-implicit CBS procedures for incompressible laminar viscous flows","Jiang C., Zhang Z.-Q., Han X., Liu G., Lin T.","International Journal for Numerical Methods in Fluids","John Wiley and Sons Ltd","2018","10.1002/fld.4406"
"124","33","33","0","","A cell-based smoothed point interpolation method (CS-PIM) for 2D thermoelastic problems","Liu Y., Zhang G., Lu H., Zong Z.","International Journal of Numerical Methods for Heat and Fluid Flow","Emerald Group Publishing Ltd.","2017","10.1108/HFF-02-2016-0042"
"125","30","29","1","413","A cell-based smoothed radial point interpolation method using condensed shape functions for free and forced vibration analysis of solids","Tao D., Zhang G., Chen Z., Sun T., Sui Z., Wang H.","Engineering Analysis with Boundary Elements","Elsevier Ltd","2019","10.1016/j.enganabound.2019.02.003"
"126","35","35","0","","A cell-based smoothed radial point interpolation method with virtual nodes for three-dimensional mid-frequency acoustic problems","Zhang G., Chen Z., Sui Z., Tao D., He Z., Tang Q., Sun L.","International Journal for Numerical Methods in Engineering","John Wiley and Sons Ltd","2019","10.1002/nme.6062"
"127","53","53","0","","A cohesive zone model for predicting the initiation of Mode II delamination in composites under cyclic loading","Rafiee R., Sotoudeh S.","Journal of Reinforced Plastics and Composites","SAGE Publications Ltd","2020","10.1177/0731684420949660"
"128","55","55","0","","A combination of damage locating vector method (DLV) and differential evolution algorithm (DE) for structural damage assessment","Nguyen-Thoi T., Tran-Viet A., Nguyen-Minh N., Vo-Duy T., Ho-Huu V.","Frontiers of Structural and Civil Engineering","Higher Education Press","2018","10.1007/s11709-016-0379-1"
"129","39","38","1","4758","A combined adaptive phase field and discrete cutting method for the prediction of crack paths","Hussein A., Hudobivnik B., Wriggers P.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2020","10.1016/j.cma.2020.113329"
"130","68","66","2","2387,4162","A combined control strategy using tuned liquid dampers to reduce displacement demands of base-isolated structures: a probabilistic approach","Shoaei P., Oromi H.T.","Frontiers of Structural and Civil Engineering","Higher Education Press","2019","10.1007/s11709-019-0524-8"
"131","39","36","3","118,3686,2725","A combined virtual element method and the scaled boundary finite element method for linear elastic fracture mechanics","Adak D., Pramod A.L.N., Ooi E.T., Natarajan S.","Engineering Analysis with Boundary Elements","Elsevier Ltd","2020","10.1016/j.enganabound.2019.12.008"
"132","43","38","2","3276,4512,2221,2811,3896","A comparative analysis of electromechanical model of piezoelectric actuator through Caputo–Fabrizio and Atangana–Baleanu fractional derivatives","Abro K.A., Atangana A.","Mathematical Methods in the Applied Sciences","John Wiley and Sons Ltd","2020","10.1002/mma.6638"
"133","52","50","2","3469,1827","A comparative analysis of sulfate SO4 −2 ion concentration via modern fractional derivatives: An industrial application to cooling system of power plant","Abro K.A., Abro I.A., Yıldırım A.","Physica A: Statistical Mechanics and its Applications","Elsevier B.V.","2020","10.1016/j.physa.2019.123306"
"134","44","44","0","","A comparative analysis of unsteady and steady Buongiorno's Williamson nanoliquid flow over a wedge with slip effects","Reddy R.C.S., Reddy P.S.","Chinese Journal of Chemical Engineering","Chemical Industry Press","2020","10.1016/j.cjche.2020.04.016"
"135","210","207","3","2933,3058,1102","A comparative review between Genetic Algorithm use in composite optimisation and the state-of-the-art in evolutionary computation","Wang Z., Sobey A.","Composite Structures","Elsevier Ltd","2020","10.1016/j.compstruct.2019.111739"
"136","26","26","0","","A comparative study and analysis of natural convection flow of MHD non-Newtonian fluid in the presence of heat source and first-order chemical reaction","Ahmad M., Imran M.A., Aleem M., Khan I.","Journal of Thermal Analysis and Calorimetry","Springer Netherlands","2019","10.1007/s10973-019-08065-3"
"137","53","53","0","","A comparative study of Al2O3 and TiO2 nanofluid flow over a wedge with non-linear thermal radiation","Sreedevi P., Reddy P.S., Sheremet M.","International Journal of Numerical Methods for Heat and Fluid Flow","Emerald Group Publishing Ltd.","2019","10.1108/HFF-05-2019-0434"
"138","39","38","1","3993","A comparative study of heat transfer analysis on ethylene glycol or engine oil as base fluid with gold nanoparticle in presence of thermal radiation","Raju A., Ojjela O., Kambhatla P.K.","Journal of Thermal Analysis and Calorimetry","Springer Netherlands","2020","10.1007/s10973-020-09757-x"
"139","31","28","3","2772,3646,1848","A comparative study on the role of nanoparticle dispersion in electroosmosis regulated peristaltic flow of water","Akram J., Akbar N.S., Maraj E.N.","Alexandria Engineering Journal","Elsevier B.V.","2020","10.1016/j.aej.2020.03.017"
"140","74","72","2","4028,4025","A comparison of nonlinear vibration and bending of hybrid CNTRC/metal laminated plates with positive and negative Poisson's ratios","Yu Y., Shen H.-S.","International Journal of Mechanical Sciences","Elsevier Ltd","2020","10.1016/j.ijmecsci.2020.105790"
"141","29","28","1","2387","A compensation controller based on a nonlinear wavelet neural network for continuous material processing operations","Shen C., Chen Y., Chen B., Xie J.","Computers, Materials and Continua","Tech Science Press","2019","10.32604/cmc.2019.04883"
"142","28","22","4","1947,2099,4433,156,1453,3521","A complete model for dynamic simulation of a 1-kW class beta-type Stirling engine with rhombic-drive mechanism","Yang H.-S., Cheng C.-H., Huang S.-T.","Energy","Elsevier Ltd","2018","10.1016/j.energy.2018.07.159"
"143","127","118","9","4824,2096,2028,4620,1583,1148,3456,4472,996","A comprehensive computational approach for nonlinear thermal instability of the electrically FG-GPLRC disk based on GDQ method","Al-Furjan M.S.H., Safarpour H., Habibi M., Safarpour M., Tounsi A.","Engineering with Computers","Springer","2020","10.1007/s00366-020-01088-7"
"144","52","50","2","1455,1926","A comprehensive exergy-based evaluation on cascade absorption-compression refrigeration system for low temperature applications - exergy, exergoeconomic, and exergoenvironmental assessments","Mousavi S.A., Mehrpooya M.","Journal of Cleaner Production","Elsevier Ltd","2020","10.1016/j.jclepro.2019.119005"
"145","272","272","0","","A comprehensive review on energy storage systems: Types, comparison, current scenario, applications, barriers, and potential solutions, policies, and future prospects","Hossain E., Faruque H.M.R., Sunny Md.S.H., Mohammad N., Nawar N.","Energies","MDPI AG","2020","10.3390/en13143651"
"146","215","213","2","1318,4202","A comprehensive review on material selection for polymer matrix composites subjected to impact load","Mahesh V., Joladarashi S., Kulkarni S.M.","Defence Technology","China Ordnance Society","2020","10.1016/j.dt.2020.04.002"
"147","117","87","29","2982,355,1,889,4433,312,1822,3399,3336,3051,1179,3188,2925,3388,950,4236,3625,954,4555,3596,3303,4558,740,142,4833,3063,3049,3064,1687,1922","A comprehensive review on modeling and performance optimization of Stirling engine","Ahmed F., Huang H., Ahmed S., Wang X.","International Journal of Energy Research","John Wiley and Sons Ltd","2020","10.1002/er.5214"
"148","185","182","3","4159,1455,4560","A comprehensive review on the exergy analysis of combined cycle power plants","Ibrahim T.K., Mohammed M.K., Awad O.I., Abdalla A.N., Basrawi F., Mohammed M.N., Najafi G., Mamat R.","Renewable and Sustainable Energy Reviews","Elsevier Ltd","2018","10.1016/j.rser.2018.03.072"
"149","141","139","2","335,1918","A comprehensive review on theoretical aspects of nanofluids: Exact solutions and analysis","Sheikh N.A., Dennis Ling Chuan Ching, Khan I.","Symmetry","MDPI AG","2020","10.3390/SYM12050725"
"150","31","31","0","","A comprehensive study of the second law of thermodynamics for a rotary regenerative heat exchanger with two types of simple and anodized aluminum sheets: an experimental study","Akbari A., Kouravand S., Pourahmad S.","Energy Sources, Part A: Recovery, Utilization and Environmental Effects","Taylor and Francis Inc.","2020","10.1080/15567036.2020.1771479"
"151","62","61","1","212","A comprehensive study on slicing processes optimization of silicon ingot for photovoltaic applications","Ozturk S., Aydin L., Celik E.","Solar Energy","Elsevier Ltd","2018","10.1016/j.solener.2017.12.040"
"152","37","28","9","1228,3844,3914,2500,4244,1859,1168,1858,1262","A comprehensive study to the assessment of Arrhenius activation energy and binary chemical reaction in swirling flow","Khan N.S., Shah Z., Shutaywi M., Kumam P., Thounthong P.","Scientific Reports","Nature Research","2020","10.1038/s41598-020-64712-y"
"153","57","55","2","3168,4532","A comprehensive thermo-hydraulic analysis and optimization of turbulent TiO2/W-EG nano-fluid flow inside double-pipe heat exchangers with helical coil inserts","Ebrahimi-Moghadam A., Gohari F., Hoseinzade D., Deymi-Dashtebayaz M.","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Springer","2020","10.1007/s40430-020-02320-7"
"154","49","47","2","1736,768","A computational approach for crack identification in plate structures using XFEM, XIGA, PSO and Jaya algorithm","Khatir S., Abdel Wahab M.","Theoretical and Applied Fracture Mechanics","Elsevier B.V.","2019","10.1016/j.tafmec.2019.102240"
"155","16","15","0","426","A computational fluid dynamics study on the heat transfer characteristics of the working cycle of a low-temperature-differential γ-type Stirling engine","Chen W.-L., Wong K.-L., Chang Y.-F.","International Journal of Heat and Mass Transfer","Elsevier Ltd","2014","10.1016/j.ijheatmasstransfer.2014.03.055"
"156","19","18","0","155","A computational fluid dynamics study on the heat transfer characteristics of the working cycle of a β-type Stirling engine","Salazar J.L., Chen W.-L.","Energy Conversion and Management","Elsevier Ltd","2014","10.1016/j.enconman.2014.08.040"
"157","50","50","0","","A computational study on the BN-yne sheet application in the Na-ion batteries","Moalla A., Noei M., Khazali F., Maleki A.","Journal of Molecular Graphics and Modelling","Elsevier Inc.","2020","10.1016/j.jmgm.2020.107567"
"158","51","51","0","","A continuous-stress tetrahedron for finite strain problems","Areias P., Rabczuk T., Carapau F., Lopes J.C.","Finite Elements in Analysis and Design","Elsevier B.V.","2019","10.1016/j.finel.2019.07.003"
"159","46","46","0","","A control strategy for hybrid energy source in backbone base transceiver station using artificial neural network: a case study of Penajam, Indonesia","Widjonarko, Avian C., Utomo S.B., Setiawan A., Rudiyanto B.","International Journal of Energy and Environmental Engineering","Springer","2020","10.1007/s40095-020-00348-y"
"160","41","41","0","","A convected particle least square interpolation material point method","Tran Q.A., Sołowski W., Berzins M., Guilkey J.","International Journal for Numerical Methods in Engineering","John Wiley and Sons Ltd","2020","10.1002/nme.6257"
